timestamp,open,high,low,close,volume
2024-02-21,132.2900,132.5812,130.1400,131.4000,983415
2024-02-20,131.0000,132.0600,129.3900,131.8000,2121235
2024-02-16,131.2600,132.6600,130.4900,131.1600,1295739
2024-02-15,129.9200,131.6200,128.8300,131.5000,1348940
2024-02-14,128.3000,129.4350,127.6900,128.6700,1372350
2024-02-13,127.9100,128.8100,126.7300,127.9100,1503717
2024-02-12,131.8200,132.1900,127.9600,128.5100,1206893
2024-02-09,130.0200,132.5100,130.0000,132.1700,1245398
2024-02-08,132.5500,133.9700,130.1700,130.7200,1228722
2024-02-07,131.9600,133.8000,130.8100,132.5000,2087576
2024-02-06,127.7600,131.4950,127.1900,131.0100,2656914
2024-02-05,127.9000,128.4200,125.8500,127.0300,1878057
2024-02-02,127.0100,133.0700,126.4300,129.7100,3781674
2024-02-01,122.0000,127.7000,122.0000,127.6300,1937524
2024-01-31,122.7800,124.1800,121.3650,122.0000,1666070
2024-01-30,121.3300,122.3100,120.7000,121.8800,1285466
2024-01-29,121.0900,121.7420,120.0050,121.0100,1801469
2024-01-26,120.0700,122.4100,120.0700,121.2700,1558807
2024-01-25,117.9000,120.5900,117.0400,120.5500,1425765
2024-01-24,119.1400,119.5200,115.3400,115.6700,1449099
2024-01-23,117.7300,120.5600,117.1600,118.6900,1929364
2024-01-22,114.4600,117.3750,114.3300,117.2100,1876800
2024-01-19,111.4500,114.6100,111.4500,114.4500,1684303
2024-01-18,111.3700,111.9000,110.2500,111.4100,1614877
2024-01-17,111.2300,112.0000,109.4400,111.9200,1484467
2024-01-16,112.3700,112.8350,111.3000,111.8100,1416999
2024-01-12,113.9400,114.4200,112.7400,112.9100,1556906
2024-01-11,115.0000,115.2900,111.4800,112.9100,1609390
2024-01-10,116.0200,116.4299,114.9650,115.8500,1090523
2024-01-09,116.4400,116.9300,115.1700,116.4900,1514048
2024-01-08,116.1900,117.1600,115.0300,117.0300,1351735
2024-01-05,115.1100,117.6624,115.1100,116.2400,1723667
2024-01-04,116.2100,117.1090,115.0000,115.3600,1348862
2024-01-03,115.5000,117.1662,115.5000,115.8500,1372365
2024-01-02,116.4000,117.2300,114.9700,115.2500,1362814
2023-12-29,116.7300,117.2700,115.9300,116.8900,849870
2023-12-28,118.7100,118.7800,116.9500,117.1100,559694
2023-12-27,117.2800,117.7600,116.8800,117.4200,540857
